user_id,R,F,M,R_score,F_score,M_score,RFM,label
3692,2,3,363.3,1,1,1,111,核心价值用户
3697,2,1,242.39999999999998,1,0,1,101,高消费流失预警用户
3701,4,2,472.1,0,1,1,011,重点保持用户
3702,1,2,235.8,1,1,1,111,核心价值用户
3703,2,4,794.7,1,1,1,111,核心价值用户
3704,1,1,24.9,1,0,0,100,一般发展用户
3707,6,1,3.9000000000000004,0,0,0,000,流失用户
3708,6,2,231.39999999999998,0,1,1,011,重点保持用户
3711,2,2,169.1,1,1,0,110,高潜力用户
3712,2,3,271.0,1,1,1,111,核心价值用户
3717,2,1,82.2,1,0,0,100,一般发展用户
3719,3,1,30.3,0,0,0,000,流失用户
3720,1,2,270.90000000000003,1,1,1,111,核心价值用户
3722,5,1,22.8,0,0,0,000,流失用户
3724,1,6,624.6,1,1,1,111,核心价值用户
3725,6,1,43.6,0,0,0,000,流失用户
3726,2,2,260.40000000000003,1,1,1,111,核心价值用户
3727,5,1,126.0,0,0,0,000,流失用户
3729,2,1,94.9,1,0,0,100,一般发展用户
3730,4,3,356.29999999999995,0,1,1,011,重点保持用户
3733,2,3,199.1,1,1,0,110,高潜力用户
3734,1,12,1953.8,1,1,1,111,核心价值用户
3735,1,7,419.2,1,1,1,111,核心价值用户
3737,3,1,37.0,0,0,0,000,流失用户
3738,4,2,365.1,0,1,1,011,重点保持用户
3741,2,4,417.7,1,1,1,111,核心价值用户
3742,1,2,162.60000000000002,1,1,0,110,高潜力用户
3743,5,1,172.2,0,0,0,000,流失用户
3744,4,1,32.1,0,0,0,000,流失用户
3745,1,31,3536.1,1,1,1,111,核心价值用户
3746,1,5,407.0,1,1,1,111,核心价值用户
3747,5,1,89.5,0,0,0,000,流失用户
3748,2,2,543.9,1,1,1,111,核心价值用户
3749,1,1,138.8,1,0,0,100,一般发展用户
3750,1,2,17.3,1,1,0,110,高潜力用户
3753,2,1,124.8,1,0,0,100,一般发展用户
3756,2,1,0.8,1,0,0,100,一般发展用户
3757,2,1,101.10000000000001,1,0,0,100,一般发展用户
3758,1,2,255.59999999999997,1,1,1,111,核心价值用户
3759,2,2,122.2,1,1,0,110,高潜力用户
3761,1,1,83.4,1,0,0,100,一般发展用户
3762,2,2,72.7,1,1,0,110,高潜力用户
3763,4,2,105.4,0,1,0,010,一般保持用户
3764,2,1,234.8,1,0,1,101,高消费流失预警用户
3765,3,1,297.2,0,0,1,001,高消费沉睡用户
3767,3,5,744.0,0,1,1,011,重点保持用户
3768,5,9,763.3000000000001,0,1,1,011,重点保持用户
3769,2,4,771.7,1,1,1,111,核心价值用户
3772,1,1,55.4,1,0,0,100,一般发展用户
3773,1,2,301.5,1,1,1,111,核心价值用户
3774,1,2,85.39999999999999,1,1,0,110,高潜力用户
3778,2,1,90.30000000000001,1,0,0,100,一般发展用户
3780,1,3,219.6,1,1,1,111,核心价值用户
3781,2,3,359.1,1,1,1,111,核心价值用户
3782,4,1,125.6,0,0,0,000,流失用户
3792,1,3,197.0,1,1,0,110,高潜力用户
3793,2,1,23.2,1,0,0,100,一般发展用户
3795,4,1,177.6,0,0,0,000,流失用户
3797,3,1,80.9,0,0,0,000,流失用户
3798,1,2,15.4,1,1,0,110,高潜力用户
3800,1,2,384.5,1,1,1,111,核心价值用户
3801,1,4,941.2,1,1,1,111,核心价值用户
3805,1,1,5.4,1,0,0,100,一般发展用户
3808,5,1,143.39999999999998,0,0,0,000,流失用户
3814,6,1,258.29999999999995,0,0,1,001,高消费沉睡用户
3815,4,1,32.0,0,0,0,000,流失用户
3816,6,1,32.2,0,0,0,000,流失用户
3819,1,3,184.6,1,1,0,110,高潜力用户
3822,2,3,137.2,1,1,0,110,高潜力用户
3823,3,4,507.99999999999994,0,1,1,011,重点保持用户
3824,1,1,90.5,1,0,0,100,一般发展用户
3827,5,5,1305.1,0,1,1,011,重点保持用户
3829,1,5,664.7,1,1,1,111,核心价值用户
3830,1,2,133.0,1,1,0,110,高潜力用户
3831,4,1,156.6,0,0,0,000,流失用户
3833,4,1,62.0,0,0,0,000,流失用户
3836,1,3,408.7,1,1,1,111,核心价值用户
3837,4,1,155.6,0,0,0,000,流失用户
3838,3,4,184.3,0,1,0,010,一般保持用户
3840,3,2,231.00000000000003,0,1,1,011,重点保持用户
3842,6,8,917.8,0,1,1,011,重点保持用户
3843,6,1,79.5,0,0,0,000,流失用户
3844,6,2,185.5,0,1,0,010,一般保持用户
3845,1,1,1.9,1,0,0,100,一般发展用户
3847,2,1,54.0,1,0,0,100,一般发展用户
3848,2,1,15.899999999999999,1,0,0,100,一般发展用户
3849,3,1,320.0,0,0,1,001,高消费沉睡用户
3850,3,3,233.7,0,1,1,011,重点保持用户
3851,4,1,20.4,0,0,0,000,流失用户
3853,1,1,38.7,1,0,0,100,一般发展用户
3854,6,3,587.2,0,1,1,011,重点保持用户
3855,6,1,128.6,0,0,0,000,流失用户
3858,2,8,1396.9,1,1,1,111,核心价值用户
3860,4,1,187.8,0,0,0,000,流失用户
3861,4,1,179.4,0,0,0,000,流失用户
3863,6,1,246.4,0,0,1,001,高消费沉睡用户
3865,2,1,272.8,1,0,1,101,高消费流失预警用户
3869,5,2,321.29999999999995,0,1,1,011,重点保持用户
3871,3,2,315.0,0,1,1,011,重点保持用户
3872,1,2,130.6,1,1,0,110,高潜力用户
3873,4,1,20.8,0,0,0,000,流失用户
3876,5,1,72.8,0,0,0,000,流失用户
3877,5,1,258.8,0,0,1,001,高消费沉睡用户
3879,3,2,219.2,0,1,1,011,重点保持用户
3880,4,1,312.8,0,0,1,001,高消费沉睡用户
3881,2,3,384.6,1,1,1,111,核心价值用户
3883,1,1,31.1,1,0,0,100,一般发展用户
3884,4,3,198.5,0,1,0,010,一般保持用户
3885,1,1,226.0,1,0,1,101,高消费流失预警用户
3887,4,2,67.89999999999999,0,1,0,010,一般保持用户
3888,3,3,200.20000000000002,0,1,0,010,一般保持用户
3891,5,1,41.7,0,0,0,000,流失用户
3892,2,4,320.79999999999995,1,1,1,111,核心价值用户
3893,2,2,262.6,1,1,1,111,核心价值用户
3894,1,1,57.7,1,0,0,100,一般发展用户
3896,2,2,253.8,1,1,1,111,核心价值用户
3898,5,1,133.2,0,0,0,000,流失用户
3899,3,2,443.9,0,1,1,011,重点保持用户
3900,1,2,128.0,1,1,0,110,高潜力用户
3901,5,1,184.4,0,0,0,000,流失用户
3903,2,2,226.4,1,1,1,111,核心价值用户
3905,6,1,120.4,0,0,0,000,流失用户
3906,1,5,467.0,1,1,1,111,核心价值用户
3907,5,1,252.8,0,0,1,001,高消费沉睡用户
3910,5,2,393.4,0,1,1,011,重点保持用户
3911,4,2,404.8,0,1,1,011,重点保持用户
3914,4,1,293.6,0,0,1,001,高消费沉睡用户
3915,3,2,447.2,0,1,1,011,重点保持用户
3919,4,1,260.4,0,0,1,001,高消费沉睡用户
3921,3,1,3.5,0,0,0,000,流失用户
3922,6,2,252.0,0,1,1,011,重点保持用户
3923,2,1,15.3,1,0,0,100,一般发展用户
3924,3,1,252.29999999999998,0,0,1,001,高消费沉睡用户
3926,3,1,48.2,0,0,0,000,流失用户
3927,5,1,165.2,0,0,0,000,流失用户
3928,4,1,167.0,0,0,0,000,流失用户
3931,1,4,410.49999999999994,1,1,1,111,核心价值用户
3932,4,1,64.0,0,0,0,000,流失用户
3934,1,1,93.7,1,0,0,100,一般发展用户
